date,DBC,EEM,EFA,GLD,IEF,IWM,LQD,SGOV,SPY,TIP,TLT
1990-01-01,0,0,0,0,0,0,0,0,0,0,0
1990-01-02,0.019780708794495006,0,0,-6.528095920518284e-4,0,0,0,0,0,0,0
1990-01-03,0.01210906903197273,0,0,-6.532360307988094e-4,0,0.0044722120917426444,-0.0024241379082403647,3.0140256967414736e-4,-0.002628845053418871,0,-0.0030209862794728926
1990-01-04,-0.013571695974088138,0,0,-6.536630270399524e-4,0,-0.0035618403678323585,0,2.9956256298468986e-4,-0.008198331256530023,0,0
1990-01-05,-0.018127676904794443,0,0,-6.540905818696041e-4,0,-8.936431060477812e-4,-0.001214575806184004,2.9772170636599427e-4,-0.009743795919127551,0,-0.002019731276664549
1990-01-08,-0.021363821331405797,0,0,-0.001963556089153995,0,0,-0.0012169308813894109,2.977217063662163e-4,0.0047708412240605735,0,-0.0030365449849594217
1990-01-09,0.0025608183696517184,0,0,-6.558064090526061e-4,0,-8.943318705276759e-4,0,2.9808994572189107e-4,-0.011869931047671534,0,0
1990-01-10,0.017758417486170464,0,0,-6.562367733341512e-4,0,-0.008057298211538666,-0.001217632133844404,2.9624840859265866e-4,-0.0066058047597198355,0,0
1990-01-11,0.004060346599097819,0,0,-6.566677028286838e-4,0,9.025148943959671e-4,0,2.9808994572189107e-4,0.0036276096532879,0,-0.0010163568277177237
1990-01-12,-0.002524078889801662,0,0,-6.570991986502017e-4,0,-0.02164149496714607,-0.002438330941882616,2.958799990302463e-4,-0.024698793383364337,0,-0.005080576244497426
1990-01-15,-0.009601741329285929,0,0,-0.0019725937857457687,0,-0.007373175302004209,-0.0012235670784375152,2.958799990302463e-4,-0.008339181140509688,0,-0.002042516543761308
1990-01-16,-0.009253210935273093,0,0,-6.588308675906651e-4,0,9.2872236583319e-4,-0.0036723513787784157,3.014025696739253e-4,0.010899828429267844,0,-0.005117338881001965
1990-01-17,-0.00875047265025719,0,0,-6.592652118619924e-4,0,9.275166915743149e-4,0,3.043448144843808e-4,-0.009549878031076764,0,0
1990-01-18,0.004539483704251834,0,0,-6.597001292074633e-4,0,-0.005560515926992249,-0.0061414048264030185,3.0691749801792234e-4,0.0021778064700628263,0,-0.009259954474119536
1990-01-19,0.0072724731010636035,0,0,-6.60135620761948e-4,0,0.00559160815318549,0,3.0544759650941167e-4,0.00279296625501968,0,0.0041537425672075745
1990-01-22,-0.012083257219711374,0,0,-0.0019817150629886093,0,-0.013901805263390132,0.0024714841524542397,3.05080036406169e-4,-0.025689168840414167,0,-0.0010340705524837235
1990-01-23,-0.002166036953400119,0,0,-6.618833518714506e-4,0,-0.004698953575922982,-0.0012327449331474005,3.0287396360417773e-4,0.003812374925211026,0,-0.006211588269875112
1990-01-24,-0.0020358929565015282,0,0,-6.623217315989693e-4,0,-0.013220890274068253,-0.006173312556943422,3.028739636039557e-4,-0.003797895922029393,0,-0.00312464627438902
1990-01-25,0.007129502669046328,0,0,-6.627606924085594e-4,0,-9.562160667480057e-4,-0.0012415348088025135,3.0360945690066643e-4,-0.012705733036916023,0,-0.0031356582048239767
1990-01-26,0.005224233955541946,0,0,-6.632002354556299e-4,0,-0.009578119966847765,-0.006219280897952872,3.0287396360417773e-4,-9.654406335964927e-4,0,-0.008384454714405631
1990-01-29,0.00949814793617687,0,0,-0.0019909210856998705,0,-0.009671524481905558,0,3.0544759650941167e-4,-0.0016102103430035708,0,0.002113955518319832
1990-01-30,-0.008995692443201087,0,0,-6.649642532529088e-4,0,-0.015625272508385524,-0.003755282795488979,3.0544759650941167e-4,-0.006451881321588915,0,-0.00421984344994597
1990-01-31,-0.0017171631793819753,0,0,-6.654067249390883e-4,0,0.006945272498446009,0.012274627640410207,3.0544759650941167e-4,0.018831353546321816,0,0.01653405509889061
1990-02-01,-8.270166906387821e-5,0,0,-6.658497858642587e-4,0,0.0049255523301121595,0.002499506826889153,3.0618261503190247e-4,-6.370015573941012e-4,0,0.0020977133410999826
1990-02-02,0.013709027064704005,0,0,-0.0032213569857177937,0,0.009804516722604406,-0.0012464885113073754,3.080195684748155e-4,0.006377299007267245,0,-0.00523535655797136
1990-02-05,-0.01718930494231008,0,0,-0.00969530298916621,0,0.005824860955570665,-0.0037451266136102612,3.0838685757950124e-4,0.0038019399085318373,0,-0.0031575396627901986
1990-02-06,0.0015573666657917595,0,0,-0.0032634073864439284,0,0,-0.0012532347375516784,3.0875411283792786e-4,-0.006313459878622529,0,-0.0031680114151459993
1990-02-07,-0.0030245199723035743,0,0,-0.003274092082730773,0,0.007721723295997629,-0.0012553068308571724,3.0838685757950124e-4,0.012389463956337998,0,0.0010600830032070352
1990-02-08,-0.0016841795139912463,0,0,-0.0032848469742019493,0,0.0028737615449152543,0.002513269060332446,3.0838685757950124e-4,-0.002196875962964806,0,0.0031743372593417973
1990-02-09,-8.068245499012194e-4,0,0,-0.0032956727548787423,0,0.002865762793174964,0.0050119411518485535,3.061826150321245e-4,0.002515879998576054,0,0.01160259451340373
1990-02-12,0.008761314499479811,0,0,-0.009919710383884617,0,-0.0028575736648872585,0.002493671998288427,3.0508003640639103e-4,-0.010037313754624577,0,-0.0062558139340552765
1990-02-13,0.001060680850749618,0,0,-0.003339698974558547,0,-0.0019111380986738258,-0.002487469066331127,2.995625629849119e-4,0.0028513748635883296,0,0.0031470371667676744
1990-02-14,0.00737517950505806,0,0,-0.0033508899382491686,0,9.578718521447982e-4,0.0012473820514589118,3.006666689395754e-4,0.0028438424908290294,0,-0.0010460319243241756
1990-02-15,0.01235143876543332,0,0,-0.0033621561534746824,0,0.005735587095390127,-0.002490763628921311,3.043448144843808e-4,0.008821649028718737,0,-0.00523535655797136
1990-02-16,-0.004241127137271872,0,0,-0.0033734983818178854,0,0,-0.0012483424024876122,3.032417272195165e-4,-0.006246104234445049,0,-0.00105226328457797
