date,DBC,EEM,EFA,GLD,IEF,IWM,LQD,SGOV,SPY,TIP,TLT
2017-06-21,204.7412737903724,424.40975292393273,760.1944272550124,433.687661177902,469.84858819673485,1995.3447794107444,764.4113434320966,221.37563463371652,1182.7699829877558,229.83272116900136,929.4178946621889
2017-06-22,205.03929867404142,426.57978789979245,760.077411040471,435.15134436335165,470.28502201334356,2002.9287874942022,765.0429511784109,221.38402792744068,1182.234073180591,230.57960928936635,931.4582245344591
2017-06-23,205.93335706352826,428.85328645954274,761.9488805854762,437.01754112273596,470.41604894645775,2016.2354944302492,765.4222009764236,221.39250855385373,1183.6461556810261,230.7612918044546,931.020825707084
2017-06-26,206.38040251979209,432.9868556044035,763.2355511605091,433.1022046541829,470.8090490890239,2018.6674559684382,766.8119194775487,221.40116351498088,1184.4248439898865,231.12471682885732,934.5181234316553
2017-06-27,208.76455280458356,427.92320379355164,763.1185913665147,434.74883078941707,468.4960950431953,2000.9249368089054,763.3378176453436,221.40990580991073,1174.8830724438433,230.03456174410158,924.5363302528093
2017-06-28,210.10567291185458,431.2299643625686,769.7859202502154,435.0781727669248,468.0594595846459,2031.5456871843892,764.1587910631879,221.4188224220789,1185.3986706056266,230.2162842553406,921.4760808196078
2017-06-29,210.99973130134146,425.7530740708202,762.1828001734651,432.95583354389436,466.3138856317638,2019.5262317446507,761.8215961357223,221.42791333807645,1174.9804720592233,229.30787167989934,913.7531416587168
2017-06-30,215.32105146074213,427.7165134929496,762.65069576999,431.8580641754484,465.2229220754066,2016.3793737310937,761.1900531962771,221.43691765567132,1177.1713276375488,228.98488276397308,911.6399002973506
2017-07-03,217.55622995750002,430.1967971001736,761.7150174180344,424.7958186292806,463.514248597686,2033.2631171144137,759.5435698797512,221.44618323927662,1179.1668753709348,228.56398327084565,908.70479221803
2017-07-04,217.38658174440891,NA,NA,NA,NA,NA,NA,221.45544921058172,NA,NA,NA
