date,ticker,price
1990-01-02,TLT,100
1990-01-03,TLT,99.69790137205271
1990-01-04,TLT,99.69790137205271
1990-01-05,TLT,99.49653840243376
1990-01-08,TLT,99.19441268772702
1990-01-09,TLT,99.19441268772702
1990-01-10,TLT,99.19441268772702
1990-01-11,TLT,99.0935957691204
1990-01-12,TLT,98.59014320047397
1990-01-15,TLT,98.38877120193521
1990-01-16,TLT,97.88528251760954
1990-01-17,TLT,97.88528251760954
1990-01-18,TLT,96.97886925781015
1990-01-19,TLT,97.38169451516596
1990-01-22,TLT,97.280994972516865
1990-01-23,TLT,96.6767254852638
1990-01-24,TLT,96.37464491515614
1990-01-25,TLT,96.07244696909093
1990-01-26,TLT,95.26693188817646
1990-01-29,TLT,95.46832194455486
1990-01-30,TLT,95.0654605715198
1990-01-31,TLT,96.63727813461071
1990-02-01,TLT,96.83999544220127
1990-02-02,TLT,96.33300353698903
1990-02-05,TLT,96.02882825748527
1990-02-06,TLT,95.72460783338246
1990-02-07,TLT,95.8260838631353
1990-02-08,TLT,96.13026817155885
1990-02-09,TLT,97.24562869361822
1990-02-12,TLT,96.63727813461071
1990-02-13,TLT,96.94139924059559
1990-02-14,TLT,96.83999544220127
1990-02-15,TLT,96.33300353698903
1990-02-16,TLT,96.23163585427393
1990-02-20,TLT,94.7106330518778
1990-02-21,TLT,94.7106330518778
1990-02-22,TLT,95.72460783338246
1990-02-23,TLT,95.52175509199475
1990-02-26,TLT,96.13026817155885
1990-02-27,TLT,96.53579307593807
1990-02-28,TLT,96.32152777990957
1990-03-01,TLT,95.70934895890231
1990-03-02,TLT,96.11740196082854
1990-03-05,TLT,95.19916984499689
1990-03-06,TLT,95.70934895890231
1990-03-07,TLT,95.8113035214051
1990-03-08,TLT,96.01554671644365
1990-03-09,TLT,95.40318731704018
1990-03-12,TLT,95.60733119396083
1990-03-13,TLT,94.68890044189334
1990-03-14,TLT,95.60733119396082
1990-03-15,TLT,95.50525022658067
1990-03-16,TLT,96.21949195712844
1990-03-19,TLT,96.01554671644362
1990-03-20,TLT,96.93376077443567
1990-03-21,TLT,96.72972524455274
1990-03-22,TLT,96.62768942177165
1990-03-23,TLT,96.62768942177165
