date,cpi,corecpi,pce,corepce,mediancpi,trimmedmeancpi,trimmedmeanpce,medianpce
1978-06-01,9.41069168329187,8.45304476951634,8.47135377583925,7.0769697616647,,,6.69543115954527,6.98290337619309
1978-09-01,9.6370389827257,8.93558475201133,7.21177858363935,7.04576040954092,,,6.80086560200259,6.80990216200463
1978-12-01,9.6268495042428,9.17045776833922,7.77106770573894,7.37546888326823,,,7.62588292625468,7.94146383386785
1979-03-01,10.4610803588282,9.59748835726209,7.7504772313699,5.57744699985505,,,7.52307410797983,7.67175319565252
1979-06-01,13.3361535475695,9.78566717150091,11.3901321521963,9.08056328372371,,,7.36566488816004,7.7238380423867
1979-09-01,13.5212342569185,10.7671218772655,10.3044061128164,7.59685285610496,,,8.12157071203325,8.59316842876874
1979-12-01,13.2781560148992,12.677307420396,10.0337304873733,8.60370670570683,,,8.74827691531481,9.51704182791571
1980-03-01,16.7414477410019,15.628934190835,12.5565169642694,10.1546170000624,,,9.23697620519606,9.78928556936502
1980-06-01,14.1949842882118,14.0907902029683,10.1563023225821,9.24916387697747,,,8.32731211756241,9.09918682897368
1980-09-01,7.72113591891899,6.12070986692723,9.69304910198088,9.21112790690282,,,8.12807147725567,8.59790653837689
1980-12-01,11.6938613911814,13.0421124373738,10.2708072819466,10.1103842908089,,,8.7788901187172,9.39268933077539
1981-03-01,11.531024140763,9.70710910838497,10.7828197555807,9.16323999797928,,,8.89009929040645,9.20039473340657
1981-06-01,8.60410696319678,9.1453928315937,6.87853581027111,7.78296393967814,,,7.40054117175957,7.89509823202319
1981-09-01,11.6140660290758,14.2161410549403,6.76228873453337,7.57246736065809,,,6.83975691542369,7.43173947806468
1981-12-01,6.66319428282618,8.0157988204218,6.26765134935958,7.30011753959874,,,6.43400020915645,6.86380299524445
1982-03-01,3.602595531936,4.9898783445486,5.18216009589498,5.99120262423687,,,5.1919539991192,5.5175275935857
1982-06-01,5.90515374355236,7.61015032376493,3.90315369519749,5.52460232644896,,,4.69011984293868,4.88245208307427
1982-09-01,7.12993149851326,6.87926000780072,6.46615962823327,6.56155928714832,,,5.52809409569905,6.29440701972921
1982-12-01,1.23476500842463,1.38167210769062,4.49024500702055,5.69094068247653,,,3.86349445250833,4.70233502118886
1983-03-01,0.272572244049063,2.48864704157645,3.34818108781902,5.36075768437609,,,3.97306823611614,4.36012098638445
1983-06-01,4.70671513529122,4.00710771464199,3.70429381924271,3.09537524107142,4.06692187956965,4.00536331377694,3.66612764137582,3.98134327338329
1983-09-01,3.95789379877607,5.08228988034785,5.36346735973674,6.21343827969523,3.81678576538915,3.62834975447808,3.53631897494464,3.84994424080172
1983-12-01,4.05628397417033,5.29508417371296,2.66405720854967,3.23628097054016,4.67577841236264,3.91718931723546,3.3180667962976,3.82589584275752
1984-03-01,5.7926956415342,5.63622283846754,4.3989194810415,4.10389989635747,4.42997655207391,4.78273131414366,4.17029237539026,4.5438726715848
1984-06-01,3.82479769089823,5.01885125055159,3.9286333394712,4.7685964382896,4.13602766266186,3.98039357731377,3.88746215187177,4.52213839337434
1984-09-01,3.52389306784922,5.08954833002946,3.12545252598722,3.80837477367773,4.49604891436006,4.00638500250525,4.00961684355485,4.34769540577304
1984-12-01,3.49312245150795,4.10993727620015,2.48868144800622,2.87438881108315,3.64876318150973,3.66979285229085,3.3799291673809,4.15822652691977
